1,2014,218,6,8.1,  #,Bovy,2014, IAUS,298, 185;,[R0,from,Bovy,et,al.,2012, ApJ,759, 131];,intermediate-age,and,old,disk,stars, APOGEE:,mostly,RGs,,,,,,,
3,2014,240,8,8.34, #,Reid,et,al.,2014, ApJ,783, 130;,more,than,100,masers,,,,,,,,,,,,,,,,,,
9,2014,232,1.7,8,  #,Sharma,et,al.,2014, ApJ,793, 51;,RAVE/GCS,data:,giants,and,dwarfs,,,,,,,,,,,,,,,,,
9,2014,203,12,6.72, #,Branham,2014, Ap&SS,353, 179;,based,on,OB,stars,and,a,nonlinear,model,,,,,,,,,,,,,,,,
8,2015,238,14,8,  #,Honma,et,al.,2015, PASJ,67, 70;,masers,,,,,,,,,,,,,,,,,,,,,
9,2015,234,14,8,  #,Bobylev,&,Bajkova,2015, AstL,41, 473;,120,spectroscopic,OB,binaries,,,,,,,,,,,,,,,,,,
9,2015,237,15,8,  #,Bobylev,&,Bajkova,2015, AstL,41, 473;,O,stars,from,Patriarchi,et,al.,-2003,,,,,,,,,,,,,,,
9,2015,230,15,8,  #,Bobylev,&,Bajkova,2015, AstL,41, 473;,168,OB3,stars,with,distances,from,interstellar,Ca,lines,,,,,,,,,,,,,
9,2015,250,15,8,  #,Bobylev,&,Bajkova,2015, AstL,41, 473;,same,sample, distances,reduced,by,20%,,,,,,,,,,,,,,,,
9,2015,255,16,8,  #,Bobylev,&,Bajkova,2015, AstL,41, 473;,smaller,sample,of,58,spectroscopic,binaries,,,,,,,,,,,,,,,,
9,2015,252,14,8,  #,Bobylev,&,Bajkova,2015, AstL,41, 473;,Ca,distance,scale,,,,,,,,,,,,,,,,,,,
9,2016,238,15,8.2,  #,Bland-Hawthorn,&,Gerhard,2016, ARA&A,54, 529;,different,inner,disk,tracers, incl.,masers, Sgr,A*,,,,,,,,,,,,,,
12,2016,240,6,8.34, #,Huang,et,al.,2016, MNRAS,463, 2623;,16,0,RC,stars,in,the,outer,disk,+,5700,halo,K,giants,,,,,,,,,
9,2014,298,7,8.15, #,Branham,2014, Ap&SS,353, 179;,OB,stars,(Hipparcos),,,,,,,,,,,,,,,,,,,,,
0,0,204,15,7.4,,Grushkova,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,239,7,8.3,,Salucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,251.49,7.47,8.3,,salucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
